name; year; decade; crew; capacity; length; wingspan; wingarea; emptyweight; grossweight; maxspeed; cruisespeed; stallspeed; range; fuelcapacity; power
Advanced Aeromarine Carrera; UNKNOWN; 1990; 1; 2; 6.76; 9.53; 14.1; 186.0; 431.0; 65.0; 55.0; 27.0; UNKNOWN; UNKNOWN; 48.0
Advanced Aeromarine Buccaneer; 1984; 1980; UNKNOWN; UNKNOWN; UNKNOWN; 10.21; 15.1; 147.0; 560.0; 65.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 20.0
Advanced Aviation Cobra; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 11.0; 14.1; 107.0; 238.0; 56.0; 48.0; 21.0; 113.0; 18.0; 22.0
Advanced Aviation Explorer; UNKNOWN; 1990; one; one passenger; 6.86; 9.04; 14.5; 218.0; 476.0; 78.0; 63.0; 29.0; 174.0; UNKNOWN; UNKNOWN
Aériane Swift; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN
Aero Adventure Aventura; 1995; 1990; 1; UNKNOWN; 6.25; 8.48; 14.5; 325.0; 650.0; 74.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 30.0
Mitchell U-2 Superwing; 1980; 1980; one; UNKNOWN; UNKNOWN; 10.0; 12.6; 109.0; 249.0; UNKNOWN; UNKNOWN; 23.0; 156.0; 11.0; 15.0
Eipper Quicksilver; UNKNOWN; 1970; one; UNKNOWN; 5.51; 8.53; 14.5; 113.0; 238.0; 47.0; 43.0; 21.0; UNKNOWN; UNKNOWN; 30.0
Zenith STOL CH 701; 1986; 1980; two; UNKNOWN; 6.38; 8.23; 11.33; 263.0; UNKNOWN; 74.0; 70.0; 26.0; 323.0; UNKNOWN; 60.0
CZAW SportCruiser; 2006; 2000; one; one passenger; 6.62; 8.6; 12.3; 388.0; 600.0; 119.0; 93.0; 30.0; 515.0; UNKNOWN; 73.5
Aerosport Rail; 1970; 1970; 1 (pilot); UNKNOWN; 4.8; 7.11; 7.57; 172.0; 295.0; 83.0; 57.0; 36.0; 104.0; UNKNOWN; 34.0
Bradley Aerobat; UNKNOWN; 1990; one; UNKNOWN; 4.42; 5.61; 5.853; 158.0; 281.0; 174.0; 130.0; 43.0; 348.0; 38.0; 52.0
Chotia Weedhopper; 1977; 1970; one; UNKNOWN; 5.64; 8.53; 15.6; 113.0; 249.0; UNKNOWN; 48.0; 17.0; UNKNOWN; UNKNOWN; 30.0
E-Go Aeroplanes e-Go; 2013; 2010; one; UNKNOWN; UNKNOWN; 8.0; 11.5; 115.0; 243.0; 120.0; UNKNOWN; 35.0; 330.0; UNKNOWN; 22.0
Hovey Whing Ding; 1971; 1970; one; UNKNOWN; 4.3; 5.2; 9.1; 55.0; 136.0; 43.0; 35.0; 23.0; 17.0; 1.9; 9.3
Janowski Don Kichot; 1970; 1970; 1; UNKNOWN; 4.88; 7.6; 7.5; 163.0; 270.0; 73.0; 65.0; 31.0; 135.0; UNKNOWN; 17.0
MAI-223; 2004; 2000; 2; UNKNOWN; 6.0; 8.19; 11.4; 320.0; UNKNOWN; 103.0; 86.0; 39.0; 286.0; UNKNOWN; 73.5
Canaero Toucan; 1983; 1980; one; one passenger; 5.7849; 11.73; 16.9; 178.0; 408.0; 65.0; 56.0; 21.0; 148.0; UNKNOWN; 21.0
Lamco Eurocub; UNKNOWN; 1990; one; one passenger; 5.7; 9.55; 14.0; UNKNOWN; 450.0; UNKNOWN; UNKNOWN; 33.0; UNKNOWN; UNKNOWN; 60.0
Fisher Dakota Hawk; 1993; 1990; one; one passenger; 6.02; 8.69; 11.9; 272.0; 522.0; 87.0; 78.0; UNKNOWN; 217.0; UNKNOWN; 60.0
Fisher FP-101; 1982; 1980; one; UNKNOWN; 5.03; 8.79; 10.8; 112.0; 227.0; 52.0; 48.0; 23.0; 130.0; UNKNOWN; 21.0
Fisher Flyer; 1980; 1980; one; UNKNOWN; 4.27; 7.92; UNKNOWN; 109.0; 191.0; UNKNOWN; 39.0; UNKNOWN; UNKNOWN; UNKNOWN; 22.0
Freebird I; 1998; 1990; one; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 114.0; 289.0; 55.0; 52.0; UNKNOWN; UNKNOWN; UNKNOWN; 30.0
Freebird II; 1996; 1990; one; one passenger; 5.4; 8.5; 12.3; 175.0; 440.0; 74.0; 61.0; 28.0; UNKNOWN; UNKNOWN; 37.0
Birdman Atlas; 1980; 1980; one; UNKNOWN; 4.27; 9.75; 15.0; 94.0; UNKNOWN; 40.0; 36.0; 17.0; 74.0; UNKNOWN; 15.0
InterPlane Griffon; 1992; 1990; one; UNKNOWN; 5.72; 10.03; 13.96; 155.0; 275.0; 76.0; 51.0; 26.0; 108.0; UNKNOWN; 37.0
InterPlane Skyboy; 1992; 1990; one; one passenger; 6.1; 10.49; 15.2; 222.0; 454.0; 78.0; 59.0; 35.0; 174.0; UNKNOWN; 48.0
CGS Hawk; 1982; 1980; one; UNKNOWN; 6.27; 8.79; 12.5; 141.0; 272.0; UNKNOWN; 65.0; 30.0; 150.0; UNKNOWN; 30.0
Team Mini-Max Hi-MAX; 1987; 1980; one; UNKNOWN; 4.88; 7.62; 10.45; 149.0; 254.0; 70.0; 61.0; 27.0; 122.0; UNKNOWN; 30.0
Mini-MAX; 1984; 1980; one; UNKNOWN; 4.88; 8.08; 11.0; 181.0; 318.0; 70.0; 65.0; 31.0; 125.0; UNKNOWN; 37.0
Watkinson Dingbat; 1938; 1930; 1; UNKNOWN; 4.88; 8.53; 11.6; 209.0; 318.0; 78.0; 70.0; 34.0; 174.0; UNKNOWN; 24.0
Murphy Renegade; UNKNOWN; 1980; one; one passenger; 5.61; UNKNOWN; 14.2; 170.0; 386.0; 74.0; 65.0; 31.0; 245.0; 53.0; 37.0
Fisher Barnstormer; 1982; 1980; one; no passengers; UNKNOWN; 6.1; 16.4; 100.0; 222.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 30.0
Fisher Boomerang; 1982; 1980; one; no passengers; UNKNOWN; 8.53; 14.5; 86.0; 213.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 30.0
Norman Aviation Nordic VI; UNKNOWN; 1990; 2; UNKNOWN; 6.15; 10.21; UNKNOWN; 266.0; 480.0; UNKNOWN; 90.0; 30.0; UNKNOWN; UNKNOWN; 60.0
Normand Dube Aerocruiser; 1985; 1980; one; one passenger; UNKNOWN; 9.75; 15.0; 240.0; UNKNOWN; 100.0; 73.0; 28.0; UNKNOWN; UNKNOWN; 75.0
Excalibur Aircraft Excalibur; 1993; 1990; one; one passenger; 6.1; 9.6; 17.2; 204.0; 431.0; UNKNOWN; 70.0; 29.0; 252.0; UNKNOWN; 37.0
Airconcept VoWi 10; 1975; 1970; 2; UNKNOWN; 5.89; 11.0; 13.0; 265.0; UNKNOWN; UNKNOWN; 59.0; UNKNOWN; UNKNOWN; UNKNOWN; 45.0
Sorrell Hiperlight; 1982; 1980; one; UNKNOWN; 4.72; 6.71; 13.0; 112.0; 227.0; 85.0; 52.0; 23.0; 156.0; UNKNOWN; 21.0
Preceptor N3 Pup; UNKNOWN; 1990; one; UNKNOWN; 5.03; 9.3; 11.0; 115.0; 243.0; 55.0; 52.0; 23.0; 150.0; UNKNOWN; 28.0
Hipp's Superbirds J-3 Kitten; 1986; 1980; one; UNKNOWN; 4.95; 9.14; 11.0; 113.0; 227.0; 55.0; 52.0; 21.0; 120.0; UNKNOWN; 21.0
Hy-Tek Hurricane 103; 1991; 1990; one; UNKNOWN; 5.18; 8.53; 13.3; 114.0; 238.0; 87.0; 56.0; 23.0; 70.0; UNKNOWN; 30.0
Capella Javelin; 1999; 1990; one; UNKNOWN; 5.49; 8.53; 10.4; 109.0; 261.0; 55.0; 52.0; 23.0; 120.0; UNKNOWN; 21.0
Capella XS; 1988; 1980; one; one passenger; 5.61; 8.69; 10.6; 218.0; 544.0; 117.0; 96.0; 36.0; 239.0; UNKNOWN; 48.0
Kolb Firefly; 1995; 1990; one; UNKNOWN; 5.94; 6.71; 10.9; 115.0; 227.0; 61.0; 52.0; 23.0; UNKNOWN; UNKNOWN; 30.0
Kolb Firestar; 1985; 1980; one; UNKNOWN; 6.17; 8.43; 13.3; 115.0; 249.0; 55.0; 46.0; 23.0; 113.0; UNKNOWN; 21.0
Kolb Mark III; UNKNOWN; 1990; one; one passenger; 6.86; 9.14; 15.0; 204.0; 454.0; 74.0; 65.0; 29.0; 113.0; UNKNOWN; 48.0
Kolb Slingshot; UNKNOWN; 1990; one; one passenger; 5.79; 6.71; 10.0; 156.0; 386.0; 87.0; 76.0; 34.0; UNKNOWN; UNKNOWN; 48.0
Kolb Kolbra; 2000; 2000; one; one passenger; 7.32; 8.84; 14.5; 225.0; 454.0; 87.0; 65.0; 30.0; 160.0; UNKNOWN; 48.0
Kolb Flyer; 1970; 1970; one; UNKNOWN; UNKNOWN; 8.84; 15.0; 84.0; 178.0; UNKNOWN; 35.0; 17.0; 30.0; UNKNOWN; 8.6
Kolb Ultrastar; 1982; 1980; one; UNKNOWN; UNKNOWN; 8.38; 14.0; 107.0; 213.0; 55.0; 35.0; 17.0; UNKNOWN; 19.0; 26.0
Ultravia Pelican; UNKNOWN; 1980; one; UNKNOWN; UNKNOWN; 11.28; 13.0; 95.0; 204.0; UNKNOWN; 48.0; 23.0; 90.0; UNKNOWN; 13.0
Milholland Legal Eagle; 1998; 1990; one; UNKNOWN; 3.96; 7.16; 9.9; 111.0; 227.0; 52.0; 43.0; 22.0; 87.0; UNKNOWN; 22.0
Light Miniature Aircraft LM-1; 1985; 1980; one; UNKNOWN; 5.41; 9.14; 11.0; 136.0; 272.0; 65.0; 56.0; 23.0; 150.0; UNKNOWN; 30.0
Light Miniature Aircraft LM-5; 1991; 1990; one; one passenger; 6.88; 11.0; 17.0; 352.0; 578.0; 83.0; 70.0; 31.0; 252.0; UNKNOWN; 48.0
AmeriPlanes Mitchell Wing A-10; 1982; 1980; one; UNKNOWN; 2.84; 10.46; 12.4; 127.0; 251.0; 61.0; 48.0; 24.0; 200.0; UNKNOWN; 21.0
Aero-Service Puma; UNKNOWN; UNKNOWN; one; one passenger; 6.27; 9.15; 11.3; 290.0; 472.5; 130.0; 119.0; 33.0; 648.0; UNKNOWN; 60.0
Loehle Sport Parasol; 1991; 1990; one; UNKNOWN; 5.61; 7.77; 10.6; 114.0; 272.0; 74.0; 56.0; 19.0; 200.0; UNKNOWN; 37.0
Phantom X1; 1982; 1980; one; UNKNOWN; 5.08; 8.69; 13.2; 113.0; 231.0; 53.0; 48.0; 23.0; UNKNOWN; UNKNOWN; 30.0
CFM Shadow; 1983; 1980; 2; UNKNOWN; 6.13; 10.0; 15.25; 215.0; UNKNOWN; UNKNOWN; 86.0; 34.0; 370.0; UNKNOWN; 48.0
American Aerolights Double Eagle; 1982; 1980; UNKNOWN; 2; 4.6; 11.0; UNKNOWN; 141.0; 299.0; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; UNKNOWN; 26.0
Lilienthal Bekas; 1993; 1990; one; one passenger; 6.55; 9.0; 12.33; 300.0; UNKNOWN; UNKNOWN; 65.0; 30.0; UNKNOWN; UNKNOWN; 60.0
Skyeton K-10 Swift; 2006; 2000; UNKNOWN; 2; 6.235; 9.1; UNKNOWN; 285.0; UNKNOWN; 121.0; 111.0; 31.0; 486.0; UNKNOWN; 73.5
RemSchetMash Robust; 2006; 2000; UNKNOWN; 1; 5.47; 8.94; 10.6; UNKNOWN; UNKNOWN; 108.0; 97.0; 35.0; 540.0; UNKNOWN; 41.0
Pop's Props Pinocchio; 1994; 1990; One; UNKNOWN; 5.03; 7.87; 10.76; 115.0; 227.0; 61.0; 52.0; 23.0; 100.0; UNKNOWN; 34.0
